"Table 2: Claimant unemployment by Region, January 2013 to August 2022 (seasonally adjusted)",,,,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,,,
Source: ,,,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,,,
Month,United Kingdom,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland,Unknown
January 2013,2282848,129890,287212,230504,153432,234716,168708,344477,209884,134384,114411,189636,83681,1912
February 2013,2273293,127301,284829,228373,154429,235479,168887,341781,208331,133889,113909,190395,83837,1853
March 2013,2245966,125560,282426,225792,149477,229759,167101,340977,206161,132034,112403,188593,83837,1846
April 2013,2208191,122958,266474,222795,149407,228445,166505,335530,203222,130112,111186,186110,83651,1797
May 2013,2178914,121657,263141,220159,147618,224915,163591,331650,199531,127997,109662,184507,82591,1895
June 2013,2155348,121542,258568,219645,145486,223272,161574,327259,197310,126493,108184,181962,82235,1818
July 2013,2129262,120318,257026,217934,142745,220825,159060,322818,194656,124974,106704,179272,81139,1791
August 2013,2097207,118896,254057,215764,139230,217405,156088,316136,191335,122604,105245,178413,80228,1807
September 2013,2061664,116020,251129,210997,137270,214383,153188,311189,187454,120516,104173,174016,79610,1719
October 2013,2026488,113569,247780,207191,134668,210180,150133,306817,183625,118317,102529,171305,78604,1771
November 2013,1991345,111342,245427,203074,131760,207350,146999,300456,179472,115977,101306,168691,77728,1762
December 2013,1960767,109125,242327,199526,129176,205052,144072,295744,176142,114325,100009,166629,76897,1740
January 2014,1938576,107139,242177,196114,127814,202552,141848,291966,173695,112996,99233,165147,76193,1702
February 2014,1921266,106045,238756,194997,127550,200905,140436,288947,172059,111879,98676,163619,75699,1699
March 2014,1868991,103960,232455,189898,123596,193997,135714,282952,166103,108113,96399,158761,75389,1654
April 2014,1819590,102148,219324,185348,120240,188999,131673,278050,162195,105531,94395,156074,74010,1604
May 2014,1776985,99949,211019,181163,117361,185140,128720,272058,158627,102876,92691,152785,73045,1552
June 2014,1728509,96631,203390,176504,114291,180322,124694,265635,154118,99900,90472,150001,71010,1542
July 2014,1687440,94173,197537,171835,111382,175955,121049,260257,150347,97305,88855,147280,69946,1521
August 2014,1646982,91465,191924,165893,109011,171871,117761,256789,146898,94588,86649,143937,68705,1489
September 2014,1609691,90172,186001,163095,105780,167378,114615,252086,143694,92202,84584,141071,67571,1443
October 2014,1577426,88903,181687,159938,103482,163542,111627,247179,140473,90400,82897,138826,67091,1382
November 2014,1547846,86533,177071,157472,101341,159747,109772,242944,137980,88383,81581,137482,66229,1311
December 2014,1518139,84979,172062,155606,99781,155534,107348,238934,135342,86734,80432,135343,64765,1279
January 2015,1496085,83732,167067,153479,97684,153153,106250,236477,134000,85449,79823,133949,63748,1272
February 2015,1482492,82177,163337,151956,97679,152218,105519,232761,133860,85175,79893,134432,62224,1261
March 2015,1436452,80280,157408,146943,93762,147957,102016,227556,129413,82355,77156,130457,59897,1251
April 2015,1433832,78772,177448,144787,91743,145250,100007,223527,127198,80835,75938,128513,58563,1252
May 2015,1419353,77906,176752,143047,90509,143489,98893,221804,125530,80266,75398,127054,57503,1202
June 2015,1404305,77380,173749,140443,89268,142168,97730,220521,124173,79761,75003,125965,57003,1142
July 2015,1392729,76961,173689,138653,88567,140721,97187,218386,122667,79007,74419,125060,56303,1109
August 2015,1385498,76909,173784,137859,87503,139569,96329,216888,121685,79259,74395,124428,55809,1080
September 2015,1371649,76171,172069,135833,86844,138422,95454,214893,120308,78750,73722,123376,54696,1113
October 2015,1361218,75210,171817,133740,86044,137722,95036,213131,119350,77908,73704,122669,53799,1088
November 2015,1354675,76874,170153,132406,85698,137175,93721,212751,119280,78227,73112,121164,52993,1121
December 2015,1349262,76748,170040,130863,84741,137512,93597,211867,118906,77801,72836,120538,52720,1091
January 2016,1356517,77381,169687,130729,85070,138660,93818,213032,119906,78589,73391,122481,52732,1040
February 2016,1303622,75193,163204,125545,82180,134660,89287,203271,115645,75545,70171,117177,50720,1027
March 2016,1340004,78905,168399,128773,83159,138056,91923,210177,117835,77507,71449,120644,52174,1003
April 2016,1326896,77762,162912,127206,82784,138280,91514,209431,117584,77163,71002,119285,50962,1012
May 2016,1320476,77548,160621,126584,82413,138635,91041,207506,117516,77040,70847,119355,50355,1015
June 2016,1313742,77696,159020,126260,82199,138019,90857,205891,117033,76590,70473,118863,49794,1047
July 2016,1312515,77814,158541,126517,81590,138618,90457,205861,117124,76739,70230,118990,48985,1047
August 2016,1298753,76762,157057,125131,79524,137955,89364,204563,116170,75961,69699,117493,48067,1008
September 2016,1310247,77291,159582,126096,81097,139887,90143,204591,116857,76370,70109,119448,47731,1046
October 2016,1311737,77385,159655,125966,80934,140807,89879,205117,117681,77282,69854,119362,46761,1053
November 2016,1308459,77453,159645,125188,80144,140704,89816,205626,117122,76925,69256,119203,46339,1036
December 2016,1306394,77548,160421,124674,79677,139862,89505,205476,117647,76971,68759,118682,46111,1060
January 2017,1298398,76854,158619,123959,79670,138692,89610,205573,116548,76197,67974,118193,45462,1047
February 2017,1301703,76775,158830,125119,80358,139488,90171,204082,117512,76522,67816,118427,45557,1046
March 2017,1296411,77020,160006,123908,79630,139075,89309,202677,116746,76179,67343,118334,45161,1024
April 2017,1282754,75256,157125,122414,79285,138487,88586,201694,116171,75215,66555,116913,44048,1005
May 2017,1279284,75245,157140,121944,79025,138082,88359,201461,116058,75022,65979,116495,43483,992
June 2017,1271781,74541,155714,120922,79114,137540,87919,200532,115730,74457,65354,115812,43139,1009
July 2017,1262508,74551,155530,120327,79110,136373,86996,198858,115063,73400,64518,114751,42008,1023
August 2017,1257349,74126,156288,119584,78654,135771,86364,198067,114680,72797,63872,113984,42125,1039
September 2017,1255532,74472,156892,119266,78965,135680,86178,196739,114544,72679,63266,114284,41589,979
October 2017,1255871,74412,157412,119635,79392,135886,86153,197012,114497,72262,62836,114111,41257,1007
November 2017,1268041,74825,159075,120603,80408,137444,87216,198189,115646,73239,63391,115361,41579,1065
December 2017,1279362,75089,160565,120905,81761,138924,88176,199509,116487,73961,63963,117112,41793,1120
January 2018,1289965,75418,161643,121452,82242,140359,88910,202157,118148,74890,64261,117384,41992,1110
February 2018,1288177,75554,160939,121167,82124,140286,89005,202139,118393,74438,64295,116925,41824,1089
March 2018,1276354,75413,161139,120199,81116,139500,87936,199503,116561,73602,63538,115777,40977,1094
April 2018,1271974,75893,160163,120336,80347,138558,88109,198175,116022,74190,63296,115919,39927,1039
May 2018,1245535,74842,157207,117940,79074,136625,85963,193232,113626,71784,61941,113553,38717,1032
June 2018,1230106,73982,156269,116765,77841,135991,84705,190056,112004,70638,60944,111947,37951,1014
July 2018,1226690,73507,155884,116287,77290,136542,84597,189381,111809,70935,60728,111102,37589,1039
August 2018,1232930,73888,157638,117421,77595,137137,85304,189850,112514,71316,60652,111152,37380,1083
September 2018,1243268,74313,159610,118228,78023,137791,86143,191966,113838,72084,61040,111625,37578,1031
October 2018,1260158,74880,161958,119552,78779,139118,88059,194699,115958,73651,61683,113115,37715,992
November 2018,1272383,75460,163546,120719,80091,140232,89201,196341,117657,74628,62147,113821,37554,985
December 2018,1292889,76494,166445,122304,81400,142877,90508,200000,120190,76273,62726,115134,37582,954
January 2019,1321255,77527,170313,124177,83191,145451,92809,205231,123609,78691,64158,117225,37900,972
February 2019,1327846,77530,169677,123989,83622,146028,93602,208399,124945,79591,64258,117717,37454,1034
March 2019,1300614,76115,167372,120870,81741,143642,91361,204790,122140,77127,63102,115004,36353,997
April 2019,1251788,73467,160691,116274,78585,139936,87708,197866,117460,73228,60623,110318,34682,949
May 2019,1232286,72488,158227,114247,77520,138778,86322,194402,115644,72090,59832,108003,33789,944
June 2019,1233707,72511,158827,113937,77643,139406,86543,195036,116156,72237,59997,107616,32897,899
July 2019,1234038,72230,158403,113492,78212,139920,86929,195454,116763,72038,59887,107311,32582,819
August 2019,1248394,72619,160223,114684,79676,141517,88059,198373,118265,72780,60574,108076,32700,847
September 2019,1274978,73303,164134,116433,81189,144336,90214,203852,121907,74541,61828,109456,32939,846
October 2019,1302325,74239,167410,118794,83052,146826,92917,208067,125507,76518,63154,111158,33794,889
November 2019,1320055,74890,169751,120253,83995,149106,94423,210544,128182,77488,64030,112553,33904,935
December 2019,1345344,75630,173027,122699,85777,151748,96738,214468,131144,79016,65595,114496,34150,857
January 2020,1382586,77051,176241,126415,88686,155707,100300,221351,135683,81777,66737,116957,34771,910
February 2020,1333342,74071,168192,122051,85419,150213,97314,216166,131644,78475,63577,112404,32921,895
March 2020,1354598,75186,173628,125085,86283,153147,98551,219772,132857,78858,64366,113163,32827,873
April 2020,2048242,108117,268179,187330,130221,213738,150934,307866,209737,135953,102137,175332,57012,1684
May 2020,2633090,121276,322054,224445,168604,265092,211128,456232,294379,177288,117920,208177,63938,2556
June 2020,2575925,120916,316439,222462,165246,260758,201814,449527,279861,170305,115344,207650,63032,2570
July 2020,2602851,120456,316703,223242,165496,262741,204898,455907,286587,173014,117708,210350,62952,2798
August 2020,2657658,121499,319491,225373,167584,268269,210278,471717,296593,177517,119470,213624,63273,2969
September 2020,2693273,121777,322277,227669,169449,271756,213779,485261,301475,178208,119305,215959,63127,3231
October 2020,2691696,121597,322489,227674,169094,273549,211696,492052,300486,174745,117671,214754,62490,3398
November 2020,2752622,122043,330451,232124,171869,278381,216276,513625,307144,177885,118809,216718,63734,3564
December 2020,2783658,120801,333067,234526,172511,281099,219577,528905,312170,179007,118802,215383,63909,3900
January 2021,2765876,119726,328926,232535,171217,280601,216945,532790,309586,176107,117022,212978,63328,4116
February 2021,2783605,118927,324287,232974,171999,281800,221447,546102,315151,175981,115974,211201,63397,4365
March 2021,2666899,114347,314102,223459,163474,269911,210860,527621,300128,166437,110294,201698,60399,4168
April 2021,2518769,108186,297005,211641,152878,256211,199665,501369,281972,154909,103956,190551,56618,3808
May 2021,2306842,100545,275871,194476,140104,238569,179393,458930,254245,139509,95497,173933,52366,3404
June 2021,2131047,94208,257289,182601,129859,224826,163591,420955,231257,125899,88056,160017,49472,3016
July 2021,2063466,91741,250325,177597,125533,218794,157948,408095,223246,121370,84869,153042,48038,2867
August 2021,2005532,89189,244048,173339,122136,214471,153296,396149,215638,117312,82065,148024,47252,2611
September 2021,1967918,87702,238428,171341,120845,211542,150459,385974,210886,115803,81119,144196,47062,2561
October 2021,1944867,85347,233672,168508,119695,208927,149257,382349,209414,116016,80405,141376,46227,3673
November 2021,1883526,82522,226818,162761,116258,203633,145155,368960,203278,112535,78056,136501,44603,2446
December 2021,1828519,79057,220212,158029,113188,197351,140716,358530,197534,109211,76045,132945,43255,2446
January 2022,1840250,80103,221722,157564,114139,200542,141078,359147,199504,110741,77242,133009,43381,2074
February 2022,1766864,76958,210614,151072,108762,193589,135133,348683,191508,105125,73833,127752,41892,1945
March 2022,1640202,71513,199622,140897,100510,181807,124164,322784,175996,96105,68583,117544,38960,1716
April 2022,1495757,64871,182545,129103,89989,169824,112933,295331,160221,84999,61362,106758,36161,1659
May 2022,1435963,63268,178243,124184,87413,164184,106824,281021,152731,81313,59167,101270,34283,2063
June 2022,1398011,61674,172420,120413,85005,160203,103746,272920,148859,79028,57614,98280,33708,4141
July 2022,1366320,60389,169423,118674,83358,157758,101129,264105,145807,77073,56359,96546,33484,2216
August 2022,1372431,60523,170704,120161,84061,157478,101416,264460,146843,77450,56812,96897,33830,1796